(17) hevdeh,num,onyedi,
(18) hejdeh,num,onsekiz,
(19) nozdeh,num,ondokuz,
(20) bîst,num,yirmi,
(20.) bîstem,num,yirminci,
(21.) bîst û yekem,num,yirmi birinci,
(30) sî,num,otuz,
(40) çil,num,kırk,
(50) pêncî,num,elli,
(60) şêst,num,altmış,
(70) heftê,num,yetmiş,
(80) heştê,num,seksen,
(90) nod,num,doksan,
(100) sed,num,yüz,
(100.) sedem,num,yüzüncü,
(200) du sed,num,iki yüz,
(300) sê sed,num,üç yüz,
(400) çar sed,num,dört yüz,
(500) pênc sed,num,beş yüz,
(600) şeş sed,num,altı yüz,
(700) heft sed,num,yedi yüz,
(800) heşt sed,num,sekiz yüz,
(900) neh sed,num,dokuz yüz,
aborî,n,ekonomi,
adar,n,mart,
agir,n,ateş,
agirbest,n,ateşkes,
agirkuj,n,itfaiyeci,
ajovan,n,şoför,
alavgeh,n,dolap,
alikarê birêvebir,n,sekreter,
alozî,n,karışıklık,
alîkar,n,yardımcı,
amade kirin,v,hazırlamak,
amûr,n,araç,
amûrsazê avê,n,su tesisatçısı,
anîn,v,getirmek,
anîn,v,getirmek,
araq,n,rakı,
arav,n,köpüklü su,
av,n,su,
ava mêyweyê,n,meyve suyu,
avahîsaz,n,mimar,
avis,n,hamile,
avêtin,v,atmak,
avêtin,v,atmak,
awarte,n,kuraldışı,
awaz,n,melodi,
ax,n,toprak,
axaftin,v,konuşmak,
azad,n,özgür,
açer,n,anahtar (somun),
aşpêj,n,aşçı,
aştiyar,sıfat,barışçıl,
bacan,n,patlıcan,
bafirok,n,uçurtma,
bahoz,n,fırtına,
bajar,n,şehir,
bajarok,n,kasaba,
bajarêmezin,n,büyükşehir,
bajen,n,fan,
bala xwe dan,v,dikkat etmek,
baldar,n,dikkatli,
bandor kirin,v,etkilemek,
bandor,n,etki,
bandor,n,etki,
bang,n,ezan,
bangnişan,n,ünlem işareti,
banîn,v,alışmak,
baran,n,yağmur,
barandin,v,"yağdırmak",
barke,adv,galiba,
barîn,v,"yağmak",
bav,n,baba,<b>Hevoka Mînak - Örnek Cümle</b><br>Bavê min ne li malê ye <br> Babam evde değil. (Bav)
bawer kirin,v,inanmak,
baxçevan,n,bahçıvan,
baz,n,şahin,
bazdan,v,koşmak,
bazin,n,bilezik,
bedew,sıfat,"alımlı, hoş",
beher,n,deniz,eş anlam
bejik,n,acur,
belav kirin,v,dağıtmak,
beq,n,kurbağa,
ber,edat,ön,
ber,n,yakın,
berahî,n,hakikat,
beran,n,koyun,
beraz,n,domuz,
berbang,n,(sabah) ezana yakın olan vakit,
berbisk,n,saç tokası,
berbûk,n,geline eşlik eden,
berdan,v,bırakmak,
berdan,v,bırakmak,
berfîn,n,kardelen,
bergeş,n,tepsi,
berguzar,n,garson,
berhevî,n,derleme,
bermayî,n,artık,
bernamed,n,adayadayı,
bersiv dan,v,cevap vermek,
bersiv dan,v,cevap vermek,
berx,n,kuzu,
berxwedan,n,direniş,
berçavk,n,gözlük,
berçavka roje,n,güneş gözlüğü,
berêvar,n,ikindi vakti,
berîk,n,cep,
best,n,dere,
betal,n,iptal,
beyanî,n,sabahın ilk saatleri,
beyanîbaş,ifade,günaydın,
beybûn,n,papatya,
beytar,n,veteriner,
bezandin,v,"koşturmak",
bezin,v,"koşmak",
bi min,exp,bence,
bi ser de,exp,"hatta,üstelik",<b>Hevoka Mînak - Örnek Cümle</b><br>Bi ser de min dît jî.<br>Hatta beni gördü de.
bi xatirê te,exp,hoşçakal,
bi xweda,n,vallahi,
bi,edat,ile,
biborîn,v,affetmek,
biborîne,exp,afedersin,
bibûre,n,pardon,
bidest xistin,v,elde etmek,
bidîmen,adj,görüntülü,
bigelamperî,adv,"genellikle,genel olarak",<b>Hevoka Mînak - Örnek Cümle</b><br>Em bi gelemperî li vir dijîn.<br>Biz genellikle burada oturuyoruz.
bigelemperî,adv,genellikle,
biha,adj,pahalı,
bihar,n,"bahar, ilkbahar",
bihîstin,v,duymak,
bijartin,v,"seçmek",
bijîşk,n,doktor,
bilind,sıfat,yüksek,
bin,edat,altında,
binemal,n,geniş aile,
binevş,n,menekşe,
bingeh,n,esas,
bingeh,n,temel,
bipaş xistin,v,ertelemek,
bipiranî,adv,çoğunlukla,
bipiranî,adv,çoğunlukla,<b>Hevoka Mînak - Örnek Cümle</b><br>Em bi piranî zû radizên.<br>Biz çoğunlukla erken uyuruz.
bipêş xistin,v,geliştirmek,
bira,n,abi,
biraştin,v,"izgara etmek",
birinc,n,pirinç pilavı,
biryar dan,v,karar vermek,
biryar dan,v,karar vermek,
biryar,n,karar,
birçî bûn,v,acıkmak,
birçîbûn,v,acıkmak,
birîn,n,yara,
birîndar,sıfat,yaralı,
birû,n,kaş,
birû,n,kaş,
birûsk,n,yıldırım,
biserketin,v,başarmak,
biserneketin,v,başaramamak,
bistîn,v,almak,
biyan,n,yabancı,
bizin,n,keçi,
bişavtin,"n, v","asimilasyon, eritmek",
bişirîn,v,gülümsemek,
bişkok,n,düğme,
boyax kirin,v,boyamak,
boyaxvan,n,boyacı,
bêbextî,n,ihanet,
bêdawî,n,ebedi,
bêguman,adv,"şüphesiz,kuşkusuz",<b>Hevoka Mînak - Örnek Cümle</b><br>Bêguman ew ên werin.<br>Kuşkusuz onlar gelecek.
bêhempa,sıfat,benzersiz,
bêhna xwe dan,v,dinlenmek,
bêhnfireh,adj,sabırlı,
bêhnfirehî,n,sabır,
bêhnok,n,virgül,
bêr,n,kürek,
bêrezî,sıfat,saygısız,
bêvan,belirtisiz zamir,filan,
bêzar,n,"bitkin, dilsiz",
bîra,n,bira,
bîranîn,n,anma,
bîrdozî,n,i̇deoloji,
bûjen,n,madde,
bûk,n,gelin,
bûn,v,olmak,
bûn,v,olmak,
bûyer,n,olay,
bûyer,n,vaka,
camêr,adj,cömert,
canberî,n,karides,
catir,n,kekik,
cejn,n,bayram,
cemser,n,kutup,
cerbader,n,tornavida,
ceribandin,v,denemek,
ceribandin,v,denemek,
cerr,n,vidalar,
civak,n,toplum,
civaknas,n,sosyolog,
civakî,sıfat,toplumsal,
civandin,v,"toplamak,yığmak",
civîn,n,toplantı,
ciwan,sıfat,genç,
cixare nayê kişandin,söz öbeği,sigara içilmez,
cixare,n,sigara,
cotkar,n,çiftçi,
cotmeh,n,ekim,
cuda,adj,farklı,
cînavk,n,zamir,
cîrok,n,hikâye,
cûr,n,"tür, çeşit",
cûtin,v,"çiğnemek",
dad,n,adalet,
dadan,v,"kapamak",
dadgeh,n,mahkeme,
dadok,n,dadı,
dagirtin,v,"doldurmak",
daketin,v,"i̇nmek",
daliqandin,v,sarkıtmak,
damezirandin,v,"kurmak",
dan dîtin,v,buldurmak,
dan,v,vermek,
danîn,v,koymak,
dar,n,ağaç,
dara çira,n,fener,
daran,v,"kitlemek",
daristan,n,orman,
dartiraş,n,marangoz,
das,n,orak,
daxistin,n,indirim,
daxistin,v,kapatmak,
daxwaz kirin,v,dilemek,
daxwaz kirin,v,talep etmek,
dayik,n,anne,<b>Hevoka Mînak - Örnek Cümle</b><br>Dayika min îro nexweş e. <br> Annem bugün hastadır. (Dayik)
debar,n,geçim,
debeng,adj,aptal,
defter,n,defter,
demanî,sıfat,kiralık,
demsal,n,mevsim,
dendik,n,çekirdek,
deng kirin,v,seslenmek,
deng,n,ses,
dengbêj,n,halk ozanı,
derbas bûn,v,geçmek,"Bir yerden geçmek, bir yere geçmek manasında olan kullanım."
derdor,n,çevre,
dergevan,n,kapıcı,
derhêl (offline),n,çevrim dışı,<b>Hevoka Mînak - Örnek Cümle</b><br>Na ew vê gavê derhêl e.<br>Hayır o şimdilik çevrim dışı
derman,n,ilaç,
dermanfiroş,n,eczacı,
dermanxane,n,eczane,
dermanî,sıfat,tıbbi,
derve,n,dışarısı,
derve,prep,dış,
derya,n,deniz,eş anlam
derzî,n,i̇ğne,
derçik,n,eşik,
derî,n,kapı,
derûnnas,n,psikolog,
